Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	3	4	1	Human	0, 3	"{""0"": [""moderate price range""], ""3"": [""moderate price range""]}"
3	3	2	9	10	2	Human	0, 6, 9	"{""0"": [""3 star""], ""6"": [""3 star""], ""9"": [""3 star""]}"
7	7	1	1	13	1	Human	0, 1, 2, 3, 5, 7, 8, 12	"{""0"": [""hotel""], ""1"": [""hotels"", ""hotel""], ""2"": [""hotel""], ""3"": [""hotels""], ""5"": [""hotel""], ""7"": [""hotels""], ""8"": [""hotel""], ""12"": [""hotel""]}"
3	1	2	12	13	1	Human	0, 3, 12	"{""0"": [""price range""], ""3"": [""price range""], ""12"": [""price range""]}"
4	4	1	6	9	1	Agent	1, 6, 9	"{""1"": [""guest""], ""6"": [""guest""], ""9"": [""guest""]}"
2	2	2	13	6	1	Human	8, 13	"{""8"": [""reference number""], ""13"": [""reference number""]}"
2	2	2	7	8	1	Human	0, 7	"{""0"": [""star hotel""], ""7"": [""star hotels""]}"
4	4	1	9	6	3	Human	4, 6, 8, 9	"{""4"": [""parking""], ""6"": [""parking""], ""8"": [""parking""], ""9"": [""parking""]}"
3	3	1	7	8	1	Human	6, 7, 13	"{""6"": [""room""], ""7"": [""room""], ""13"": [""room""]}"
3	3	1	3	5	1	Human	2, 3, 6	"{""2"": [""wifi""], ""3"": [""wifi""], ""6"": [""wifi""]}"
2	2	1	6	6	1	Agent	1, 6	"{""1"": [""actual""], ""6"": [""actually""]}"
