Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	8	3	2	1	Human	2, 3	"{""2"": [""chinese restaurants in the north part of town""], ""3"": [""chinese restaurants in the north part of town""]}"
3	1	7	3	4	2	Human	0, 2, 3	"{""0"": [""restaurant in the north part of town""], ""2"": [""restaurants in the north part of town""], ""3"": [""restaurants in the north part of town""]}"
6	3	4	1	8	1	Human	0, 1, 2, 3, 5, 7	"{""0"": [""north part of town""], ""1"": [""north part of town""], ""2"": [""north part of town""], ""3"": [""north part of town""], ""5"": [""north part of town""], ""7"": [""north part of town""]}"
2	2	2	4	2	1	Agent	3, 4	"{""3"": [""price range""], ""4"": [""price range""]}"
2	2	3	1	2	1	Human	0, 1	"{""0"": [""persian food""], ""1"": [""persian food""]}"
4	4	2	7	4	1	Human	6, 7, 8, 9	"{""6"": [""phone number""], ""7"": [""phone number""], ""8"": [""phone number""], ""9"": [""phone number""]}"
7	1	1	9	10	1	Human	0, 1, 2, 3, 5, 7, 9	"{""0"": [""town""], ""1"": [""town""], ""2"": [""town""], ""3"": [""town""], ""5"": [""town""], ""7"": [""town""], ""9"": [""town""]}"
3	1	2	7	6	1	Human	2, 3, 7	"{""2"": [""chinese restaurants""], ""3"": [""chinese restaurants""], ""7"": [""chinese restaurant""]}"
7	3	1	1	8	1	Human	0, 1, 2, 3, 5, 6, 7	"{""0"": [""restaurant""], ""1"": [""restaurants""], ""2"": [""restaurants""], ""3"": [""restaurants""], ""5"": [""restaurants""], ""6"": [""restaurants""], ""7"": [""restaurant""]}"
4	2	1	5	10	1	Human	0, 1, 5, 9	"{""0"": [""food""], ""1"": [""food""], ""5"": [""food""], ""9"": [""food""]}"
